Ch	LOCODE	Name	NameWoDiacritics	SubDiv	Function	Status	Date	IATA	Coordinates	Remarks
 	US  MC4 	Mineral City 	Mineral City 	OH 	-23----- 	RL 	0607 	 	4036N 08122W 	 
 	US  M3M 	Mineral Point 	Mineral Point 	MO 	--3----- 	AA 	1507 	 	3756N 09043W 	 
 	US  MP3 	Mineral Point, Iowa 	Mineral Point, Iowa 	WI 	-23----- 	RL 	0607 	 	4251N 09010W 	 
 	US  4AL 	Mineral Ridge 	Mineral Ridge 	OH 	--3----- 	RL 	1407 	 	4108N 08046W 	 
 	US  IPU 	Mineral Springs 	Mineral Springs 	NC 	--3----- 	RL 	0901 	 	3456N 08014W 	 
 	US  M5S 	Mineral Springs 	Mineral Springs 	AR 	--3----- 	RL 	1301 	 	3352N 09354W 	 
 	US  IWF 	Mineral Wells 	Mineral Wells 	WV 	--3----- 	RL 	0901 	 	3911N 08131W 	 
 	US  MWL 	Mineral Wells 	Mineral Wells 	TX 	---4---- 	AI 	9601 	 	 	 
+ 	US  W37 	Mineral Wells 	Mineral Wells 	MS 	--3----- 	RL 	1601 	 	3459N 08951W 	 
 	US  MW5 	Mineralwells 	Mineralwells 	WV 	--3--6-- 	RL 	0607 	 	3911N 08132W 	 
 	US  M88 	Minersville 	Minersville 	UT 	-----6-- 	RQ 	1001 	 	3812N 11255W 	 
 	US  MVP 	Minersville 	Minersville 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  MNV 	Minerva 	Minerva 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  XIV 	Mineville 	Mineville 	NY 	--3----- 	RQ 	1007 	 	4405N 07331W 	 
 	US  MIG 	Mingo 	Mingo 	KS 	--3----- 	RQ 	9307 	 	 	 
 	US  IQG 	Mingo 	Mingo 	IA 	--3----- 	RL 	1107 	 	4146N 09317W 	 
 	US  XIM 	Mingo Junction 	Mingo Junction 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  MD9 	Minidoka 	Minidoka 	ID 	-23----- 	RL 	0701 	 	4245N 11330W 	 
 	US  IPS 	Minneapolis 	Minneapolis 	KS 	--3--6-- 	RQ 	0607 	 	3907N 09742W 	 
 	US  MES 	Minneapolis 	Minneapolis 	MN 	1234---- 	RL 	0207 	MSP 	 	 
 	US  MSP 	Minneapolis/St Paul Apt 	Minneapolis/St Paul Apt 	MN 	---45--- 	RL 	0201 	 	4453N 09312W 	 
 	US  MHA 	Minnehaha 	Minnehaha 	WA 	--3----- 	RQ 	9307 	 	 	 
 	US  M9N 	Minneola 	Minneola 	FL 	--3----- 	RL 	1301 	 	2834N 08144W 	 
 	US  IJT 	Minneota 	Minneota 	MN 	--3----- 	RL 	0901 	 	4433N 09559W 	 
 	US  MKA 	Minnetonka 	Minnetonka 	MN 	--3----- 	RQ 	9501 	 	 	 
 	US  MX8 	Minnie 	Minnie 	KY 	--3----- 	RL 	0901 	 	3728N 08245W 	 
 	US  ARV 	Minocqua 	Minocqua 	WI 	---4---- 	AI 	9601 	 	 	 
 	US  WMG 	Minong 	Minong 	WI 	--3----- 	RL 	0307 	 	4605N 09149W 	 
 	US  IKA 	Minooka 	Minooka 	IL 	--3----- 	RL 	0407 	 	4127N 08815W 	 
 	US  MOT 	Minot 	Minot 	ND 	--34---- 	AI 	9601 	 	 	 
 	US  2MI 	Minotola 	Minotola 	NJ 	--3----- 	RL 	1301 	 	3931N 07456W 	 
 	US  MZO 	Minster 	Minster 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  TLI 	Mint Hill 	Mint Hill 	NC 	--3----- 	RL 	0607 	 	3511N 08039W 	 
 	US  MNT 	Minto 	Minto 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  QMT 	Minto 	Minto 	ND 	--3----- 	RL 	0201 	 	4817N 09722W 	 
 	US  M65 	Minturn 	Minturn 	CO 	--3----- 	RL 	1407 	 	3935N 10625W 	 
 	US  MI2 	Mio 	Mio 	MI 	--3----- 	RL 	0607 	 	4439N 08408W 	 
 	US  IQU 	Miquon 	Miquon 	PA 	--3----- 	RL 	1201 	 	4003N 07516W 	 
 	US  MIK 	Mira Loma 	Mira Loma 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  MLM 	Mira Mesa 	Mira Mesa 	CA 	--3----- 	RQ 	9307 	 	 	 
+ 	US  M89 	Miracle 	Miracle 	KY 	--3----- 	RL 	1601 	 	3728N 08440W 	 
 	US  MMR 	Miramar 	Miramar 	FL 	--3----- 	RQ 	9307 	 	 	 
 	US  IBC 	Miramar Beach 	Miramar Beach 	FL 	--3--6-- 	RL 	0607 	 	3022N 08622W 	 
 	US  NJK 	Miranda 	Miranda 	CA 	--3----- 	RL 	0901 	 	4014N 12349W 	 
 	US  IRL 	Mirror Lake 	Mirror Lake 	NH 	-23----- 	RL 	0401 	 	4337N 07116W 	 
 	US  NCE 	Misenheimer 	Misenheimer 	NC 	--3----- 	RL 	0207 	 	3529N 08017W 	 
 	US  MCJ 	Mishawaka 	Mishawaka 	IN 	--3----- 	RQ 	9307 	 	 	 
 	US  MSI 	Mission 	Mission 	KS 	--3----- 	RL 	0701 	 	3902N 09439W 	 
 	US  ZMX 	Mission 	Mission 	TX 	-23--6-- 	RL 	0401 	 	2612N 09819W 	 
+ 	US  5SM 	Mission Hill 	Mission Hill 	SD 	--3----- 	RL 	1601 	 	4255N 09716W 	 
 	US  MJH 	Mission Hills 	Mission Hills 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  M6V 	Mission Valley,San Diego 	Mission Valley,San Diego 	CA 	------7- 	RL 	1207 	 	3246N 11708W 	 
 	US  MJI 	Mission Viejo 	Mission Viejo 	CA 	--3----- 	RL 	0507 	 	3336N 11740W 	 
 	US  MFE 	Mission-McAllen Apt 	Mission-McAllen Apt 	TX 	---4---- 	AI 	0001 	 	 	 
 	US  MSO 	Missoula 	Missoula 	MT 	---4---- 	AI 	9601 	 	 	 
 	US  MC5 	Missouri City 	Missouri City 	TX 	-23--6-- 	RL 	0607 	 	2936N 09531W 	 
 	US  URI 	Missouri City 	Missouri City 	MO 	--3----- 	RL 	0201 	 	3914N 09417W 	 
 	US  IFV 	Missouri Valley 	Missouri Valley 	IA 	--3----- 	RL 	1301 	 	4133N 09553W 	 
 	US  MHC 	Mitchell 	Mitchell 	IN 	--3----- 	RQ 	9307 	 	 	 
 	US  MHE 	Mitchell 	Mitchell 	SD 	--34---- 	AI 	9601 	 	 	 
 	US  MC9 	Mitchell 	Mitchell 	MS 	--3----- 	RL 	0701 	 	3443N 08851W 	 
 	US  M2L 	Mitchell 	Mitchell 	AL 	--3----- 	RL 	1407 	 	3214N 08556W 	 
 	US  MIH 	Mitchell 	Mitchell 	NE 	--3----- 	RQ 	9307 	 	 	 
 	US  IHE 	Mitchellville 	Mitchellville 	MD 	-23----- 	RL 	0701 	 	3855N 07645W 	 
 	US  ITX 	Mitchellville 	Mitchellville 	IA 	--3----- 	RL 	0901 	 	4140N 09321W 	 
 	US  XIZ 	Mize 	Mize 	KY 	--3----- 	RL 	1307 	 	3751N 08322W 	 
 	US  CNY 	Moab 	Moab 	UT 	---4---- 	AI 	0001 	 	 	 
 	US  OAP 	Moapa 	Moapa 	NV 	--3----- 	RL 	1401 	 	3641N 11437W 	 
 	US  VIZ 	Moatsville 	Moatsville 	WV 	--3----- 	RL 	0901 	 	3912N 07956W 	 
 	US  MBY 	Moberly 	Moberly 	MO 	---4---- 	AI 	9601 	 	 	 
 	US  MOB 	Mobile 	Mobile 	AL 	1--4---- 	AI 	0001 	 	 	 
 	US  MBG 	Mobridge 	Mobridge 	SD 	--3----- 	RL 	0001 	 	 	 
 	US  MKV 	Mocksville 	Mocksville 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  MEY 	Modena 	Modena 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  OJX 	Modena 	Modena 	WI 	--3----- 	RL 	1407 	 	4427N 09147W 	 
 	US  MOD 	Modesto 	Modesto 	CA 	---4---- 	AI 	9601 	 	 	 
 	US  MA3 	Moffat 	Moffat 	CO 	--3----- 	RL 	0901 	 	3759N 10554W 	 
 	US  FFJ 	Moffett 	Moffett 	OK 	--3----- 	RQ 	1001 	 	3523N 09426W 	 
 	US  MEF 	Moffett Field 	Moffett Field 	CA 	--3----- 	RQ 	0201 	 	 	 
 	US  MGD 	Mogadore 	Mogadore 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  3MO 	Mohall 	Mohall 	ND 	--3----- 	RL 	1401 	 	4845N 10130W 	 
 	US  MY7 	Mohave Valley 	Mohave Valley 	AZ 	--3----- 	RQ 	0907 	 	3455N 11435W 	 
 	US  OH9 	Mohegan Lake 	Mohegan Lake 	NY 	--3----- 	RL 	1301 	 	4119N 07351W 	 
 	US  ZOH 	Mohnton 	Mohnton 	PA 	1-3--6-- 	RL 	0307 	 	4017N 07559W 	 
 	US  OH7 	Mohrsville 	Mohrsville 	PA 	--3----- 	RL 	0901 	 	4028N 07558W 	 
 	US  MOJ 	Mojave 	Mojave 	CA 	--3----- 	RL 	0401 	 	3503N 11810W 	 
 	US  IMK 	Mokena 	Mokena 	IL 	--3--6-- 	RL 	0501 	 	4131N 08753W 	 
 	US  MOL 	Molalla 	Molalla 	OR 	--3----- 	RQ 	9307 	 	 	 
 	US  M47 	Molena 	Molena 	GA 	1------- 	RL 	1401 	 	3301N 08430W 	 
 	US  MLI 	Moline 	Moline 	IL 	--34---- 	RQ 	9008 	 	 	 
 	US  7MO 	Molt 	Molt 	MO 	--3----- 	RL 	1407 	 	4551N 10855W 	 
 	US  MME 	Momence 	Momence 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  4MU 	Mona 	Mona 	UT 	--3----- 	RL 	1307 	 	3948N 11151W 	 
 	US  MNP 	Monaca 	Monaca 	PA 	--3----- 	RQ 	9008 	 	 	 
 	US  MIF 	Monahans 	Monahans 	TX 	---4---- 	AI 	0001 	 	 	 
 	US  M4V 	Monaville 	Monaville 	WV 	-----6-- 	RQ 	0907 	 	3748N 08159W 	 
 	US  MNK 	Moncks Corner 	Moncks Corner 	SC 	--3----- 	RQ 	9307 	 	 	 
 	US  MCP 	Moncure 	Moncure 	NC 	--3----- 	RQ 	9008 	 	 	 
 	US  ODI 	Mondovi 	Mondovi 	WI 	--3--6-- 	RL 	0401 	 	4434N 09140W 	 
 	US  QZE 	Monee 	Monee 	IL 	-23--6-- 	RL 	0607 	 	4125N 08745W 	 
 	US  QJU 	Monessen 	Monessen 	PA 	--3----- 	RL 	1301 	 	4008N 07953W 	 
 	US  MQG 	Moneta 	Moneta 	VA 	-23----- 	RL 	0601 	 	3711N 07937W 	 
 	US  MMO 	Monett 	Monett 	MO 	--3----- 	RQ 	9307 	 	 	 
 	US  TTF 	Monett 	Monett 	KS 	--3--6-- 	RL 	0607 	 	3709N 09606W 	 
 	US  M6T 	Monetta 	Monetta 	SC 	--3----- 	RL 	1301 	 	3351N 08136W 	 
 	US  QTE 	Monette 	Monette 	AR 	--3--6-- 	RQ 	0607 	 	3953N 09021W 	 
 	US  OES 	Money 	Money 	MS 	-23--6-- 	RL 	0401 	 	3339N 09012W 	 
 	US  MNI 	Monmouth 	Monmouth 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  MOH 	Monmouth 	Monmouth 	ME 	--3----- 	RQ 	9307 	 	 	 
 	US  OMH 	Monmouth 	Monmouth 	IA 	--3--6-- 	RL 	0507 	 	4204N 09052W 	 
 	US  OO9 	Monmouth 	Monmouth 	OR 	1----6-- 	RL 	1201 	 	4450N 12313W 	 
 	US  M9O 	Monmouth Beach 	Monmouth Beach 	NJ 	1-3----- 	RL 	1401 	 	4019N 07358W 	 
 	US  MJU 	Monmouth Junction 	Monmouth Junction 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  OON 	Monon 	Monon 	IN 	-23--6-- 	RL 	0401 	 	4052N 08652W 	 
 	US  IMO 	Monona 	Monona 	WI 	--3----- 	RL 	0407 	 	4303N 08920W 	 
 	US  MXJ 	Monona 	Monona 	IA 	--3----- 	RQ 	9501 	 	 	 
 	US  MXX 	Monongahela 	Monongahela 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  NRO 	Monroe 	Monroe 	OH 	--3----- 	RQ 	9008 	 	 	 
 	US  QMX 	Monroe 	Monroe 	NJ 	-23----- 	RL 	0307 	 	4045N 07438W 	Sussex 
 	US  M4X 	Monroe 	Monroe 	NH 	1-3----- 	RL 	1401 	 	4415N 07203W 	 
 	US  OWH 	Monroe 	Monroe 	NJ 	-23----- 	RL 	0701 	 	4049N 07427W 	Morris 
 	US  VMO 	Monroe 	Monroe 	NY 	--3----- 	RL 	1301 	 	4119N 07411W 	 
 	US  OVN 	Monroe 	Monroe 	OR 	-23----- 	RL 	0701 	 	4419N 12318W 	 
 	US  NRX 	Monroe 	Monroe 	VA 	-23--6-- 	RL 	0607 	 	3730N 07908W 	 
 	US  NRQ 	Monroe 	Monroe 	IA 	-23----- 	RL 	0701 	 	4131N 09306W 	 
 	US  MOW 	Monroe 	Monroe 	WA 	--3----- 	RQ 	9506 	 	 	 
 	US  MOM 	Monroe 	Monroe 	CT 	--3----- 	RL 	0201 	 	4118N 07312W 	 
 	US  MOI 	Monroe 	Monroe 	MI 	--3----- 	RQ 	9008 	 	 	 
 	US  MOE 	Monroe 	Monroe 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  MLU 	Monroe 	Monroe 	LA 	--34---- 	AI 	0001 	 	 	 
 	US  INQ 	Monroe 	Monroe 	IN 	--3----- 	RQ 	0607 	 	3321N 09710W 	 
 	US  MWI 	Monroe 	Monroe 	WI 	--3----- 	RQ 	9307 	 	 	 
 	US  MNR 	Monroe 	Monroe 	NC 	--3----- 	RQ 	9008 	 	 	 
 	US  VOB 	Monroe Bridge 	Monroe Bridge 	MA 	--3----- 	RL 	1201 	 	4243N 07256W 	 
 	US  KRC 	Monroe City 	Monroe City 	MO 	--3----- 	RQ 	1001 	 	3939N 09144W 	 
 	US  MPQ 	Monroe Park 	Monroe Park 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  ONR 	Monroe Township 	Monroe Township 	NJ 	--3--6-- 	RL 	0607 	 	4238N 09248W 	 
 	US  OOE 	Monroe, Tippecanoe 	Monroe, Tippecanoe 	IN 	--3--6-- 	RL 	0507 	 	4017N 08644W 	 
 	US  VML 	Monroeville 	Monroeville 	PA 	-23--6-- 	RL 	0607 	 	4025N 07947W 	 
 	US  QXO 	Monroeville 	Monroeville 	NJ 	--3----- 	RL 	1207 	 	3937N 07509W 	 
 	US  O8M 	Monroeville 	Monroeville 	OH 	--3----- 	RL 	1501 	 	4114N 08241W 	 
 	US  9MO 	Monroeville 	Monroeville 	IN 	--3----- 	RL 	1301 	 	4058N 08452W 	 
 	US  MVC 	Monroeville 	Monroeville 	AL 	---4---- 	AI 	9601 	 	 	 
 	US  XIY 	Monrovia 	Monrovia 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  ZMR 	Monrovia 	Monrovia 	MD 	-23--6-- 	RL 	0701 	 	3922N 07716W 	 
 	US  MSE 	Monsey 	Monsey 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  MZS 	Monson 	Monson 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  M5A 	Mont Alto 	Mont Alto 	PA 	--3----- 	RL 	1301 	 	3950N 07733W 	 
 	US  MTG 	Mont Belvieu 	Mont Belvieu 	TX 	-23----- 	RL 	0207 	 	2951N 09453W 	 
 	US  TV7 	Mont Vernon 	Mont Vernon 	NH 	--3----- 	RL 	0901 	 	4254N 07140W 	 
 	US  SIY 	Montague 	Montague 	CA 	---4---- 	AI 	0001 	 	 	 
 	US  TGQ 	Montague 	Montague 	MI 	--3----- 	RL 	1301 	 	4325N 08621W 	 
 	US  7UE 	Montague 	Montague 	NJ 	--3----- 	AA 	1507 	 	4118N 07447W 	 
 	US  M2G 	Montague 	Montague 	MA 	--3----- 	RL 	1501 	 	4235N 07234W 	 
 	US  JTA 	Montana City 	Montana City 	MT 	-23----- 	RL 	0607 	 	4632N 11156W 	 
 	US  OQT 	Montara 	Montara 	CA 	--3----- 	RL 	0901 	 	3732N 12230W 	 
 	US  MTP 	Montauk 	Montauk 	NY 	---4---- 	AI 	0001 	 	 	 
 	US  MLR 	Montclair 	Montclair 	NJ 	--3----- 	RQ 	9506 	 	 	 
 	US  MZT 	Montclair 	Montclair 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  MXZ 	Monte Alto 	Monte Alto 	TX 	--3----- 	RQ 	9307 	 	 	 
+ 	US  C4F 	Monte Rio 	Monte Rio 	CA 	--3----- 	RL 	1601 	 	3828N 12300W 	 
 	US  VMZ 	Monte Vista 	Monte Vista 	CO 	-23----- 	RL 	0607 	 	3735N 10609W 	 
+ 	US  2MO 	Monteagle 	Monteagle 	TN 	--3----- 	RL 	1601 	 	3514N 08550W 	 
 	US  MB6 	Montebello 	Montebello 	NY 	--3----- 	RL 	1107 	 	4108N 07407W 	 
 	US  MTB 	Montebello 	Montebello 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  ZMO 	Montecito 	Montecito 	CA 	--3----- 	RL 	0401 	 	3426N 11937W 	 
 	US  M4O 	Montello 	Montello 	PA 	------7- 	RL 	1301 	 	4018N 07602W 	 
 	US  OLO 	Montello 	Montello 	WI 	--3--6-- 	RL 	0501 	 	4347N 08919W 	 
 	US  MY3 	Monterey 	Monterey 	CA 	1-3----- 	RL 	0607 	 	3636N 12154W 	 
 	US  YTX 	Monterey 	Monterey 	VA 	--3----- 	RL 	1201 	 	3824N 07934W 	 
 	US  MZY 	Monterey 	Monterey 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  MZU 	Monterey Park 	Monterey Park 	CA 	--3----- 	RL 	9307 	 	 	 
 	US  MRY 	Monterey-Carmel Apt 	Monterey-Carmel Apt 	CA 	--34---- 	AI 	0001 	 	 	 
 	US  MZW 	Montesano 	Montesano 	WA 	--3----- 	RQ 	9307 	 	 	 
 	US  MVO 	Montevallo 	Montevallo 	AL 	--3----- 	RQ 	9307 	 	 	 
 	US  MVE 	Montevideo 	Montevideo 	MN 	---4---- 	AI 	0001 	 	 	 
 	US  MZM 	Montezuma 	Montezuma 	IN 	--3----- 	RQ 	9307 	 	 	 
 	US  TZM 	Montezuma 	Montezuma 	KS 	--3--6-- 	RL 	0901 	 	3736N 10027W 	 
 	US  MOZ 	Montezuma 	Montezuma 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  YMZ 	Montezuma 	Montezuma 	IA 	--3----- 	RL 	0401 	 	4135N 09231W 	 
 	US  XQZ 	Montfort 	Montfort 	WI 	--3----- 	RL 	1301 	 	4258N 09025W 	 
 	US  OGM 	Montgomery 	Montgomery 	IN 	--3----- 	RL 	0901 	 	3840N 08702W 	 
 	US  YGY 	Montgomery 	Montgomery 	TN 	--3--6-- 	RL 	0401 	 	3527N 08809W 	 
 	US  XIL 	Montgomery 	Montgomery 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  QMG 	Montgomery 	Montgomery 	PA 	-23--6-- 	RL 	0401 	 	4110N 07652W 	 
 	US  MG6 	Montgomery 	Montgomery 	TX 	--3--6-- 	RL 	0607 	 	3023N 09542W 	 
 	US  OTE 	Montgomery 	Montgomery 	WV 	-23--6-- 	RL 	0401 	 	3810N 08119W 	 
 	US  MGM 	Montgomery 	Montgomery 	AL 	---4---- 	AI 	9601 	 	 	 
 	US  MGH 	Montgomery 	Montgomery 	MN 	--3----- 	RQ 	9307 	 	 	 
 	US  3MG 	Montgomery 	Montgomery 	LA 	--3----- 	RL 	1501 	 	3140N 09253W 	 
 	US  MGJ 	Montgomery 	Montgomery 	NY 	---4---- 	AI 	9601 	 	 	 
 	US  NGY 	Montgomery 	Montgomery 	OH 	--3----- 	RL 	0607 	 	3913N 08422W 	 
 	US  GZY 	Montgomery Center 	Montgomery Center 	VT 	--3--6-- 	RL 	0607 	 	4453N 07236W 	 
 	US  NMV 	Montgomery Village 	Montgomery Village 	MD 	--3--6-- 	RL 	0607 	 	3910N 07712W 	 
 	US  UXG 	Montgomeryville 	Montgomeryville 	PA 	--3----- 	RQ 	9008 	 	 	 
 	US  MQD 	Monticello 	Monticello 	IL 	--3----- 	RQ 	9307 	 	 	 
 	US  VMQ 	Monticello 	Monticello 	FL 	--3----- 	RL 	1407 	 	3032N 08352W 	 
 	US  OTC 	Monticello 	Monticello 	MN 	-23--6-- 	RL 	0401 	 	4518N 09347W 	 
 	US  OIO 	Monticello 	Monticello 	IN 	-23----- 	RL 	0401 	 	4044N 08645W 	 
 	US  MXO 	Monticello 	Monticello 	IA 	---4---- 	AI 	9601 	 	 	 
 	US  MSV 	Monticello 	Monticello 	NY 	---4---- 	AI 	0001 	 	 	 
 	US  MQC 	Monticello 	Monticello 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  MOQ 	Monticello 	Monticello 	AR 	--3----- 	RQ 	9307 	 	 	 
 	US  MOC 	Monticello 	Monticello 	KY 	--3----- 	RL 	9901 	 	 	 
 	US  MCZ 	Monticello 	Monticello 	MS 	--3----- 	RQ 	9307 	 	 	 
 	US  IEO 	Monticello 	Monticello 	WI 	-23----- 	RL 	0701 	 	4245N 08935W 	 
 	US  MXC 	Monticello 	Monticello 	UT 	---4---- 	AI 	0001 	 	 	 
 	US  ZGI 	Montmorenci 	Montmorenci 	IN 	-----6-- 	RL 	0901 	 	4028N 08701W 	 
 	US  URF 	Montour Falls 	Montour Falls 	NY 	--3----- 	RL 	1401 	 	4220N 07650W 	 
 	US  MBC 	Montoursville 	Montoursville 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  XIX 	Montpelier 	Montpelier 	VA 	--3----- 	RL 	1101 	 	3749N 07741W 	 
 	US  IUW 	Montpelier 	Montpelier 	ID 	--3----- 	RL 	1401 	 	4219N 11117W 	 
 	US  MMP 	Montpelier 	Montpelier 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  MPI 	Montpelier 	Montpelier 	VT 	-23----- 	RL 	0401 	 	4415N 07234W 	cf US MPV 
 	US  OPQ 	Montpelier 	Montpelier 	IN 	--3----- 	RL 	0901 	 	4033N 08516W 	 
 	US  MPV 	Montpelier-Barre Apt 	Montpelier-Barre Apt 	VT 	---4---- 	AI 	0401 	 	4412N 07233W 	cf US VBR, US MPI 
 	US  M2T 	Montreal 	Montreal 	OH 	--3----- 	RL 	1407 	 	3826N 08232W 	 
 	US  MT8 	Montreal 	Montreal 	MO 	--3----- 	RL 	0901 	 	3758N 09235W 	 
 	US  OZ9 	Montrose 	Montrose 	AL 	--3----- 	RL 	1307 	 	3033N 08753W 	 
 	US  QMR 	Montrose 	Montrose 	PA 	--3--6-- 	RL 	0401 	 	4150N 07552W 	 
 	US  MTJ 	Montrose 	Montrose 	CO 	--34---- 	AI 	1307 	 	 	 
 	US  ME3 	Montrose 	Montrose 	MN 	--3----- 	RL 	0901 	 	4503N 09354W 	 
 	US  MBH 	Montrose 	Montrose 	CA 	--3----- 	RL 	0201 	 	3412N 11813W 	 
 	US  4MO 	Montrose 	Montrose 	IA 	--3----- 	RL 	1407 	 	4031N 09124W 	 
 	US  KMX 	Montross 	Montross 	VA 	--3----- 	RL 	0701 	 	3806N 07650W 	 
 	US  M8V 	Montvale 	Montvale 	VA 	------7- 	RL 	1301 	 	3723N 07943W 	 
 	US  QMV 	Montvale 	Montvale 	NJ 	---4---- 	AI 	9601 	 	 	 
 	US  MBM 	Montville 	Montville 	CT 	--3----- 	RQ 	9307 	 	 	 
 	US  MDB 	Montville 	Montville 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  ZPQ 	Montz 	Montz 	LA 	-----6-- 	RQ 	1007 	 	 	 
 	US  MEB 	Monument 	Monument 	CO 	--3----- 	RQ 	9307 	 	 	 
 	US  GMV 	Monument Valley Gldngs 	Monument Valley Gldngs 	UT 	---4---- 	AI 	0001 	 	 	 
 	US  MU2 	Moodus 	Moodus 	CT 	--3--6-- 	RL 	1107 	 	4130N 07227W 	 
 	US  MD7 	Moody 	Moody 	AL 	--3----- 	RL 	0607 	 	3337N 08628W 	 
 	US  OOY 	Moody 	Moody 	TX 	--3----- 	RL 	0407 	 	3118N 09721W 	 
 	US  MO3 	Mooers 	Mooers 	NY 	--3--6-- 	RQ 	1007 	 	4457N 07335W 	 
 	US  M2F 	Mooers Forks 	Mooers Forks 	NY 	-----6-- 	RL 	1201 	 	4457N 07338W 	 
 	US  NIP 	Moon 	Moon 	PA 	--3----- 	RL 	0901 	 	4031N 08014W 	 
 	US  M7P 	Moon Township 	Moon Township 	PA 	--3----- 	RL 	1301 	 	4030N 08012W 	 
 	US  MOO 	Moonachie/New Jersey 	Moonachie/New Jersey 	NJ 	--3----- 	RL 	0201 	 	4050N 07402W 	 
 	US  QMP 	Moonstown 	Moonstown 	PA 	--3--6-- 	RL 	0701 	 	4017N 07618W 	 
 	US  MBW 	Moore 	Moore 	SC 	--3----- 	RQ 	9307 	 	 	 
 	US  OOF 	Moore 	Moore 	OK 	--3--6-- 	RQ 	0607 	 	3520N 09729W 	 
 	US  QMF 	Moore Haven 	Moore Haven 	FL 	-23----- 	RL 	0901 	 	2650N 08106W 	 
 	US  MF2 	Moorefield 	Moorefield 	KY 	--3----- 	RL 	0607 	 	3816N 08356W 	 
 	US  MF3 	Moorefield 	Moorefield 	WV 	-23----- 	RL 	0607 	 	3904N 07857W 	 
 	US  OED 	Mooreland 	Mooreland 	OK 	-23--6-- 	RL 	0701 	 	3627N 09912W 	 
 	US  MQE 	Moores Mill 	Moores Mill 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  OBO 	Mooresboro 	Mooresboro 	NC 	-23----- 	RL 	0701 	 	3518N 08142W 	 
 	US  OUB 	Mooresburg 	Mooresburg 	TN 	--3----- 	RL 	0701 	 	3621N 08314W 	 
 	US  MRJ 	Moorestown 	Moorestown 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  OOR 	Moorestown 	Moorestown 	PA 	--3----- 	RL 	0607 	 	4047N 07522W 	 
 	US  XJK 	Mooresville 	Mooresville 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  M3O 	Mooresville 	Mooresville 	TN 	--3----- 	RL 	1301 	 	3526N 08654W 	 
 	US  MYZ 	Mooresville 	Mooresville 	IN 	--3----- 	RQ 	9307 	 	 	 
 	US  XIH 	Moorhead 	Moorhead 	MN 	--3----- 	RQ 	9307 	 	 	 
 	US  MPF 	Moorlands 	Moorlands 	WA 	--3----- 	RQ 	9307 	 	 	 
 	US  MQK 	Moorpark 	Moorpark 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  MSZ 	Moose Pass 	Moose Pass 	AK 	--3----- 	RQ 	9307 	 	 	 
 	US  UXB 	Moosic 	Moosic 	PA 	--3----- 	RQ 	9008 	 	 	 
 	US  OOU 	Moosup 	Moosup 	CT 	--3--6-- 	RL 	0401 	 	4142N 07152W 	 
 	US  MMA 	Mora 	Mora 	NM 	--3----- 	RL 	0401 	 	3558N 10519W 	 
 	US  MJM 	Mora 	Mora 	MN 	--3----- 	RQ 	9307 	 	 	 
 	US  QMO 	Moraga 	Moraga 	CA 	--3----- 	RL 	0401 	 	3750N 12207W 	 
 	US  MRE 	Moraine 	Moraine 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  MX7 	Moran 	Moran 	WY 	--3----- 	RL 	1307 	 	4350N 11030W 	 
 	US  MJS 	Morattico 	Morattico 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  QOR 	Moravia 	Moravia 	IA 	123--6-- 	RL 	0307 	 	4053N 09248W 	 
 	US  VIJ 	Moravia 	Moravia 	NY 	-23--6-- 	RL 	0607 	 	4243N 07626W 	 
