Ch	LOCODE	Name	NameWoDiacritics	SubDiv	Function	Status	Date	IATA	Coordinates	Remarks
 	US  AQG 	Alger 	Alger 	MI 	--3--6-- 	RL 	0901 	 	4408N 08407W 	 
 	US  UAY 	Algiers 	Algiers 	LA 	--3----- 	RQ 	9307 	 	 	 
 	US  QGD 	Algodones 	Algodones 	NM 	--3----- 	RL 	1107 	 	3522N 10628W 	 
 	US  QAG 	Algoma 	Algoma 	WI 	-23----- 	RL 	0212 	 	4436N 08727W 	 
 	US  AMZ 	Algoma 	Algoma 	MS 	--3----- 	RQ 	9307 	 	 	 
 	US  AXG 	Algona 	Algona 	IA 	--34---- 	AI 	1101 	 	4304N 09413W 	 
 	US  UBJ 	Algona 	Algona 	WA 	--3----- 	RQ 	9307 	 	 	 
 	US  ALG 	Algonac 	Algonac 	MI 	--3----B 	RL 	0106 	 	4236N 08232W 	 
 	US  AGQ 	Algonquin 	Algonquin 	IL 	1-3----- 	RL 	0601 	 	4210N 08818W 	 
 	US  YAG 	Algood 	Algood 	TN 	-23----- 	RL 	0601 	 	3611N 08526W 	 
 	US  ALH 	Alhambra 	Alhambra 	CA 	--3----- 	RQ 	9008 	 	 	 
 	US  ALI 	Alice 	Alice 	TX 	---4---- 	AI 	0001 	 	 	 
 	US  AIV 	Aliceville 	Aliceville 	AL 	--34---- 	AI 	9601 	 	 	 
 	US  ACA 	Alicia 	Alicia 	MI 	--3----- 	RQ 	9307 	 	 	 
 	US  3AF 	Alief 	Alief 	TX 	--3----- 	RL 	1307 	 	2942N 09535W 	 
 	US  AQP 	Aliquippa 	Aliquippa 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  AVJ 	Aliso Viejo 	Aliso Viejo 	CA 	--3----- 	RL 	0507 	 	3336N 11744W 	 
 	US  ALZ 	Alitak 	Alitak 	AK 	---4---- 	AI 	9601 	 	 	 
 	US  AET 	Allakaket 	Allakaket 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  UOY 	Allamuchy 	Allamuchy 	NJ 	--3----- 	RL 	0901 	 	4055N 07448W 	 
+ 	US  A3A 	Alledonia 	Alledonia 	OH 	--3----- 	RL 	1601 	 	3953N 08058W 	 
 	US  ALL 	Allegan 	Allegan 	MI 	--3----- 	RQ 	9307 	 	 	 
 	US  NYZ 	Allegany 	Allegany 	NY 	----5--- 	RL 	0901 	 	4205N 07829W 	 
 	US  UBP 	Allegheny 	Allegheny 	PA 	--3----- 	RL 	0401 	 	4027N 08000W 	 
 	US  AG3 	Allegheny County Apt/Pittsburgh 	Allegheny County Apt/Pittsburgh 	PA 	---4---- 	RL 	1301 	 	4021N 07955W 	 
 	US  XAL 	Allen 	Allen 	TX 	-23----- 	RL 	0307 	 	3306N 09640W 	 
 	US  AQ9 	Allen 	Allen 	KY 	--3----- 	RL 	1207 	 	3736N 08243W 	 
 	US  AN2 	Allen 	Allen 	MI 	--3----- 	RL 	0701 	 	4157N 08446W 	 
 	US  A3N 	Allen 	Allen 	OK 	--3----- 	RL 	1307 	 	3452N 09624W 	 
 	US  APK 	Allen Park 	Allen Park 	MI 	--3----- 	RQ 	9307 	 	 	 
 	US  EDL 	Allendale 	Allendale 	SC 	123----- 	RL 	0407 	 	3300N 08118W 	 
 	US  GKE 	Allendale 	Allendale 	MI 	--3----- 	RL 	0601 	 	4258N 08557W 	 
 	US  UAZ 	Allendale 	Allendale 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  NUS 	Allenhurst 	Allenhurst 	NJ 	--3----- 	RL 	1201 	 	4014N 07400W 	 
